,timestamp,stateEstimateX,stateEstimateY,stateEstimateZ,stateEstimateVX,stateEstimateVY,stateEstimateVZ,posCtltargetX,posCtltargetY,posCtltargetZ,posCtltargetVX,posCtltargetVY,posCtltargetVZ,kalmanStateX,kalmanStateY,kalmanStateZ,kalmanVarX,kalmanVarY,kalmanVarZ,velocity,errorX,errorY,errorZ,error
0,1746552867591271940,1.3036078214645386,0.9873136878013611,0.002984475577250123,-0.028556091710925102,-0.08378320932388306,-0.007771612610667944,1.3401048183441162,0.939225971698761,0.003016467671841383,0.0007646083831787109,-0.009065628051757812,-0.0007390163373202085,1.3056774139404297,0.9938008189201355,0.010479924269020557,3.1577915251546074e-06,1.059166152117541e-05,3.005246526299743e-06,0.08885648260528133,0.03649699687957764,-0.0480877161026001,3.1992094591259956e-05,0.06036936511746898
1,1746552867691749165,1.3048458099365234,0.99558424949646,0.008814679458737373,-0.03186208754777908,-0.07931497693061829,0.023530278354883194,1.341843843460083,0.9320135116577148,0.004582476802170277,-0.0023865699768066406,-0.022714853286743164,-0.011943266727030277,1.3269644975662231,0.9272918701171875,0.015536465682089329,3.080580654568621e-06,5.010460427001817e-06,3.5793668757833075e-06,0.08865513063475308,0.03699803352355957,-0.06357073783874512,-0.004232202656567097,0.07367499394841612
2,1746552867790491762,1.3339401483535767,0.9192323684692383,0.017622768878936768,-0.019153986126184464,-0.14760269224643707,0.033461060374975204,1.3414812088012695,0.9290628433227539,0.00970915425568819,-0.03932952880859375,0.10053837299346924,-0.0048013245686888695,1.3405684232711792,0.9135979413986206,0.03201805055141449,1.5957639334374107e-06,2.7029595912608784e-06,2.254924538647174e-06,0.1525551457812427,0.007541060447692871,0.009830474853515625,-0.007913614623248577,0.014701398740482301
3,1746552867890915523,1.3361799716949463,0.9073281288146973,0.03271671012043953,-0.06851526349782944,-0.10036517679691315,0.060977835208177567,1.3220083713531494,0.954972505569458,0.0199683029204607,-0.06152462959289551,0.12936186790466309,-0.025733016431331635,1.325830101966858,0.9293397665023804,0.045389533042907715,1.0845112683455227e-06,3.197064870619215e-06,2.003160261665471e-06,0.13596251848332427,-0.014171600341796875,0.04764437675476074,-0.012748407199978828,0.05131610642608883
4,1746552867990705157,1.3247463703155518,0.9321088790893555,0.04615134745836258,-0.11372372508049011,0.07376888394355774,0.13723579049110413,1.2586537599563599,1.0375773906707764,0.036406729370355606,-0.036376953125,0.07916700839996338,-0.017460983246564865,1.301609754562378,0.9887799620628357,0.036272481083869934,1.058415591614903e-06,3.3888388770719757e-06,1.9042840904148761e-06,0.19289529822206453,-0.0660926103591919,0.1054685115814209,-0.009744618088006973,0.12484709712673894
5,1746552868090731449,1.3014246225357056,0.994658887386322,0.03123380057513714,-0.18106502294540405,0.3279908299446106,-0.0004566329880617559,1.1401864290237427,1.1688902378082275,0.05933799222111702,0.026332855224609375,-0.03008723258972168,0.04509439319372177,1.291886568069458,1.0232264995574951,0.02387181669473648,1.0868676554309786e-06,3.4244967537233606e-06,1.6368570641134284e-06,0.37465015090836407,-0.1612381935119629,0.17423135042190552,0.02810419164597988,0.23904845555852478
6,1746552868190178453,1.294776439666748,1.0167243480682373,0.027861369773745537,-0.08943422883749008,0.2379663735628128,0.037152521312236786,1.1206028461456299,1.191819190979004,0.08829721808433533,0.06223559379577637,-0.08483624458312988,0.126952663064003,1.2992421388626099,1.0215551853179932,0.024324070662260056,1.0708621402955032e-06,3.5818261494569015e-06,1.8561738670541672e-06,0.2569178586129211,-0.17417359352111816,0.1750948429107666,0.06043584831058979,0.2542580115847411
7,1746552868290607400,1.3016470670700073,1.0174989700317383,0.025510994717478752,0.0904049351811409,-0.00956816878169775,0.009602607227861881,1.1664303541183472,1.1529003381729126,0.12209440022706985,0.053560495376586914,-0.08819413185119629,0.20085400342941284,1.3273165225982666,0.9848569631576538,0.019971560686826706,1.2995706129004247e-06,4.5211736505734734e-06,2.5254723823309178e-06,0.0914156016471692,-0.13521671295166016,0.13540136814117432,0.0965834055095911,0.21434888424198428
8,1746552868391155044,1.328804850578308,0.9825174808502197,0.02313774824142456,0.33130547404289246,-0.37595391273498535,0.02857467718422413,1.246133804321289,1.0738670825958252,0.1589822918176651,-0.006324291229248047,-0.0164947509765625,0.2893030345439911,1.3478889465332031,0.9570413827896118,0.045229263603687286,1.0868179742828943e-06,5.4545607781619765e-06,2.3520944978372427e-06,0.5019174970129188,-0.08267104625701904,0.09134960174560547,0.13584454357624054,0.1833929978154783
9,1746552868490155030,1.3543922901153564,0.9493494629859924,0.050818607211112976,0.3330616056919098,-0.4168394207954407,0.27636873722076416,1.316070318222046,0.9959073662757874,0.19683684408664703,-0.04674673080444336,0.053002119064331055,0.3151981830596924,1.3606828451156616,0.943527340888977,0.07997041940689087,1.54939823460154e-06,6.0017714531568345e-06,2.1110188299644506e-06,0.6008866905067473,-0.03832197189331055,0.04655790328979492,0.14601823687553406,0.1579795473748838
